Site Set,Field,Bytesize(Approximately. After Serialize),Count,Top1%
0,recommend_context.pos_contexts.pos_strategy.content_profile.video_profile,79631,19907,4
0,recommend_context.pos_contexts.pos_strategy.content_profile.video_profile.short_profile,39815,19907,2
0,recommend_context.pos_contexts.pos_strategy.dca_material_targeting,3431362,19848,872
0,recommend_context.pos_contexts.pos_strategy.dca_material_targeting.cookie,24984,29,861
0,recommend_context.pos_contexts.pos_strategy.dca_material_targeting.targeting_id,1893526,19848,470
0,recommend_context.pos_contexts.pos_strategy.dca_material_targeting.weight,886734,19848,229
0,recommend_context.pos_contexts.pos_strategy.dpa_material_targeting,236565260,19878,55039
0,recommend_context.pos_contexts.pos_strategy.dpa_material_targeting.cookie,153184590,16429,35865
0,recommend_context.pos_contexts.pos_strategy.dpa_material_targeting.source_id,12934907,10746,3197
0,recommend_context.pos_contexts.pos_strategy.dpa_material_targeting.targeting_id,39444298,19878,8841
0,recommend_context.pos_contexts.pos_strategy.dpa_material_targeting.weight,19374191,19878,4466
0,recommend_context.pos_contexts.pos_strategy.dpa_strategy,99538,19907,5
0,recommend_context.pos_contexts.pos_strategy.dpa_strategy.support_multi_product_render,39815,19907,2
0,recommend_context.pos_contexts.pos_strategy.export_id_hash_value_black_list,69231379,16157,5758
0,recommend_context.pos_contexts.pos_strategy.hit_infer_sample_ltr_alg_ids,4525,14,323
0,recommend_context.pos_contexts.pos_strategy.info_for_style_filter,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.is_feed_position,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.is_information_pos,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.is_wxfraud_marked,90,30,3
0,recommend_context.pos_contexts.pos_strategy.merged_topn,79631,19907,4
0,recommend_context.pos_contexts.pos_strategy.min_cpc_bid,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.min_cpm_bid,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.mix_flow_type,46610,15536,3
0,recommend_context.pos_contexts.pos_strategy.patch_ad_strategy,147539,19907,8
0,recommend_context.pos_contexts.pos_strategy.patch_ad_strategy.ad_sel_count,39815,19907,2
0,recommend_context.pos_contexts.pos_strategy.patch_ad_strategy.expect_expose_position,48000,15947,3
0,recommend_context.pos_contexts.pos_strategy.pctr_crtsize_length,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.pctr_tidlist_length,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.pdn_model_trigger_interest_scores,447676,19856,23
0,recommend_context.pos_contexts.pos_strategy.placement_fingerprint_algo,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.placement_fingerprint_manual,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.pos_query,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.position_scene,119446,19907,6
0,recommend_context.pos_contexts.pos_strategy.query_analyzer_data,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.query_text,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.resource_spec,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.resource_spec_level,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.seq,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.smart_token,24764375,19907,3744
0,recommend_context.pos_contexts.pos_strategy.smart_token.id_weight_list,24612179,17581,3736
0,recommend_context.pos_contexts.pos_strategy.smart_token.id_weight_list.id,16728776,17581,2893
0,recommend_context.pos_contexts.pos_strategy.smart_token.id_weight_list.weight,4359300,17580,292
0,recommend_context.pos_contexts.pos_strategy.smart_token.space,39827,19907,2
0,recommend_context.pos_contexts.pos_strategy.style_rule_query,59724,19907,3
0,recommend_context.pos_contexts.pos_strategy.support_dy_deep_link,39815,19907,2
0,recommend_context.pos_contexts.pos_strategy.wuid_one_day_req_num,59724,19907,3
0,recommend_context.pos_contexts.ranking_compress_data,59721,19907,3
0,recommend_context.pos_contexts.retrieval_contexts,1239975493,19877,90144
0,recommend_context.pos_contexts.retrieval_contexts.ad_contexts,1238904730,19798,90087
0,recommend_context.pos_contexts.retrieval_contexts.retrieval_source_id,545872,19877,37
0,recommend_context.pos_contexts.rta_ranking_request,3499723,19907,3388
0,recommend_context.pos_contexts.rta_ranking_request.enable_rta_p3,37786,18893,2
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map,3112133,108,28816
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.aid_whitelist,504,6,84
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.ctrl_flags,142261,108,1317
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.ctrl_flags.already_moved_docwash,8418,23,366
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.ctrl_flags.disable_cpa_in_compensation_period,972,16,60
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.ctrl_flags.ignore_tencent_bid_optimization_for_cpa,972,16,60
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.ctrl_flags.moving_docwash,8418,23,366
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.ctrl_flags.through_switch,3822,21,182
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.disable_user_weight_in_compensation_period,2558,47,54
0,recommend_context.pos_contexts.rta_ranking_request.rta_info_map.dsp_tag,181,34,5
